source_id,ra,dec,phot_g_mean_mag
6110115278109271808,211.51139315781728,-41.17972197961865,4.30829
6541802406664428672,346.719415253801,-43.52041348242113,4.309135
4512265810537057664,281.7556053210387,18.182027709302517,4.3116574
5044368071868204160,44.568054513155744,-40.30462235988498,4.3152275
2950869585804006656,99.8196865986581,-14.145791459248672,4.315678
6591574171318785664,326.23687217868667,-33.02620089292468,4.3158436
6316829270922140032,233.54598102027182,-10.065575353737525,4.316157
5394951821153092864,164.17979302441142,-37.13832049306377,4.3193483
4908022136034353152,10.838426217030054,-57.463011819347656,4.3210692
1724851173788449536,263.05490751446143,86.58669984133707,4.3210907
1071133340038904320,143.61942231458804,69.83068385576529,4.322646
6412595290592307840,330.8724078795965,-56.79725466122902,4.322904
5501284972198817536,98.74402761716749,-52.97556197948061,4.3258247
